frame,visible_persons,visible_cars,unique_persons_so_far,unique_cars_so_far,inference_time_ms
176,0,3,1,29,78.98
177,0,4,1,29,66.05
178,0,3,1,29,44.91
179,0,3,1,29,23.48
180,0,5,1,29,26.73
181,0,3,1,29,22.84
182,0,4,1,29,22.5
183,0,3,1,29,21.93
184,0,4,1,29,22.81
185,0,4,1,29,20.98
186,0,3,1,29,21.63
187,0,2,1,29,21.83
188,0,4,1,29,22.21
189,0,2,1,29,22.59
190,0,1,1,29,21.98
191,0,3,1,29,21.32
192,0,4,1,30,23.18
193,0,3,1,30,26.56
194,0,3,1,30,22.66
195,0,2,1,30,21.41
196,0,2,1,30,21.23
197,0,2,1,30,23.06
198,0,2,1,30,21.16
199,0,3,1,30,22.68
200,0,4,1,30,23.54
201,0,2,1,30,23.72
202,0,3,1,30,20.34
203,0,4,1,31,20.82
204,0,3,1,31,35.07
205,0,4,1,31,27.81
206,0,5,1,31,29.62
207,0,4,1,31,29.32
208,0,4,1,31,38.62
209,0,5,1,31,39.01
210,0,4,1,31,76.9
211,0,3,1,31,33.94
212,0,3,1,31,33.1
213,0,4,1,32,28.86
214,0,2,1,32,29.25
215,0,3,1,32,30.05
216,0,2,1,32,30.22
217,0,3,1,32,29.8
218,0,3,1,32,29.1
219,0,4,1,32,29.99
220,0,4,1,32,29.99
221,0,6,1,34,30.11
222,0,7,1,35,29.92
223,0,4,1,35,68.78
224,0,3,1,35,68.76
225,0,6,1,35,70.58
226,0,3,1,35,68.33
227,0,5,1,35,69.45
228,0,4,1,35,67.57
229,0,4,1,36,68.0
230,0,4,1,36,67.66
231,0,3,1,36,68.44
232,0,2,1,36,66.53
233,0,4,1,36,69.29
234,0,4,1,36,122.65
235,0,5,1,36,32.85
236,0,5,1,36,33.79
237,0,5,1,36,30.39
238,0,4,1,36,27.96
239,0,5,1,36,34.85
240,0,3,1,36,35.6
241,0,3,1,36,31.19
242,0,3,1,36,32.58
243,0,4,1,36,29.68
244,0,4,1,36,33.84
245,0,4,1,36,121.5
246,0,4,1,36,34.56
247,0,3,1,36,31.71
248,0,3,1,36,33.33
249,0,5,1,36,31.89
250,0,3,1,36,27.68
251,0,5,1,38,34.75
252,0,6,1,38,34.39
253,0,5,1,38,32.62
254,0,2,1,38,30.51
255,0,1,1,38,31.38
256,0,4,1,38,31.87
257,0,4,1,38,105.27
258,0,6,1,38,36.23
259,0,4,1,38,32.4
260,0,5,1,38,32.49
261,0,5,1,38,32.6
262,0,5,1,38,32.46
263,0,5,1,38,32.87
264,0,5,1,38,28.23
265,0,6,1,39,28.31
266,0,3,1,39,30.95
267,0,3,1,39,28.42
268,0,3,1,39,37.36
269,0,4,1,39,72.33
270,0,5,1,39,69.76
271,0,6,1,39,25.93
272,0,7,1,40,24.96
273,0,6,1,40,25.76
274,0,5,1,40,25.46
275,0,4,1,40,22.74
276,0,5,1,40,21.9
277,0,4,1,40,23.34
278,0,4,1,40,22.06
279,0,4,1,40,35.32
280,0,4,1,40,22.01
281,0,4,1,40,21.17
282,0,3,1,40,22.31
283,0,3,1,40,20.89
284,0,4,1,41,24.64
285,0,2,1,41,30.42
286,0,4,1,41,22.1
287,0,5,1,42,23.03
288,0,3,1,42,22.56
289,0,2,1,42,20.58
290,0,3,1,42,21.81
291,0,3,1,42,21.99
292,0,4,1,42,21.7
293,0,2,1,42,22.47
294,0,2,1,42,74.41
295,0,4,1,42,72.16
296,0,4,1,42,84.72
297,0,2,1,42,101.15
298,0,2,1,42,39.68
299,0,2,1,42,26.95
300,0,2,1,42,32.0
301,0,2,1,42,31.04
302,0,3,1,43,30.65
303,0,2,1,43,29.35
304,0,3,1,43,28.84
305,0,3,1,43,26.81
306,0,3,1,43,37.42
307,0,3,1,43,30.99
308,0,3,1,43,28.48
309,0,4,1,43,32.49
310,0,3,1,43,67.52
311,0,3,1,43,109.33
312,0,3,1,43,29.34
313,0,4,1,43,27.2
314,0,4,1,44,29.13
315,0,3,1,44,26.74
316,0,5,1,46,26.11
317,0,5,1,46,28.39
318,0,7,1,46,42.54
319,0,7,1,46,34.88
320,0,6,1,46,30.98
321,0,4,1,46,29.93
322,0,6,1,46,26.88
323,0,7,1,47,28.4
324,0,6,1,47,57.88
325,0,6,1,47,76.19
326,0,6,1,47,67.85
327,0,6,1,48,75.15
328,0,7,1,49,71.68
329,0,6,1,49,92.84
330,0,6,1,49,70.68
331,0,6,1,49,73.18
332,0,4,1,49,74.68
333,0,5,1,50,73.88
334,0,3,1,50,74.79
335,0,8,1,50,75.64
336,0,4,1,50,72.98
337,0,3,1,50,79.67
338,0,4,1,50,73.9
339,0,5,1,51,70.83
340,0,5,1,51,69.93
341,0,5,1,51,68.9
342,0,5,1,52,71.5
343,0,4,1,52,73.63
344,0,5,1,52,69.79
345,0,5,1,52,73.46
346,0,6,1,53,77.43
347,0,6,1,53,78.14
348,0,4,1,53,73.56
349,0,5,1,53,68.74
350,0,5,1,53,70.06
351,0,6,1,54,70.4
352,0,4,1,54,66.98
353,0,4,1,54,69.57
354,0,2,1,54,73.02
355,0,3,1,54,72.83
356,0,4,1,54,76.1
357,0,4,1,54,72.4
358,0,5,1,54,74.67
359,0,3,1,54,68.92
360,0,4,1,54,69.61
361,0,5,1,54,69.14
362,0,4,1,54,68.73
363,0,8,1,56,70.65
364,0,4,1,56,68.65
365,0,3,1,56,84.18
366,0,5,1,56,71.57
367,0,5,1,56,105.32
368,0,8,1,57,105.44
369,0,4,1,57,65.1
370,0,4,1,57,97.32
371,0,6,1,58,31.98
372,0,4,1,58,29.62
373,0,4,1,58,30.29
374,0,4,1,58,28.11
375,1,5,2,58,29.72
376,0,3,2,58,29.83
377,0,5,2,58,29.22
378,1,4,3,58,28.52
379,0,6,3,58,28.41
380,1,6,3,58,27.77
381,1,4,3,58,29.63
382,0,5,3,58,28.02
383,0,5,3,58,74.1
384,0,5,3,58,74.19
385,0,3,3,58,124.66
386,0,5,3,59,67.48
387,0,4,3,59,72.98
388,0,4,3,59,74.16
389,0,3,3,60,96.09
390,0,3,3,60,64.44
391,0,4,3,60,67.31
392,0,4,3,60,65.87
393,0,3,3,61,78.8
394,1,5,4,62,76.77
395,1,5,4,62,30.81
396,1,5,4,62,33.15
397,1,5,4,62,31.83
398,1,4,4,62,36.52
399,1,2,4,62,30.15
400,1,3,4,62,31.17
401,1,3,4,62,32.44
402,0,4,4,62,31.79
403,0,4,4,62,31.06
404,1,5,4,62,31.79
405,0,5,4,62,32.72
406,0,4,4,62,79.31
407,0,3,4,62,74.09
408,0,3,4,63,73.42
409,0,4,4,63,74.33
410,0,5,4,63,69.96
411,0,4,4,64,85.32
412,0,4,4,64,80.6
413,1,2,4,64,81.04
414,0,5,4,64,76.3
415,0,6,4,65,71.7
416,0,6,4,65,73.03
417,0,8,4,66,70.78
418,0,4,4,66,71.54
419,0,4,4,66,74.19
420,0,7,4,67,78.4
421,0,7,4,68,72.87
422,0,5,4,68,248.28
423,0,7,4,68,24.23
424,0,7,4,69,24.28
425,0,5,4,69,27.8
426,0,4,4,69,25.07
427,0,4,4,69,24.08
428,0,3,4,69,25.45
429,0,5,4,69,23.27
430,0,4,4,69,23.65
431,0,5,4,69,21.58
432,0,3,4,69,23.47
433,0,5,4,69,47.53
434,0,6,4,69,67.83
435,0,5,4,69,87.33
436,0,7,4,70,86.32
437,0,4,4,70,35.91
438,0,7,4,70,33.75
439,0,7,4,70,32.62
440,0,4,4,70,29.3
441,0,2,4,70,35.23
442,0,3,4,70,34.81
443,0,4,4,70,30.52
444,0,3,4,70,31.87
445,0,3,4,70,32.62
446,0,4,4,70,32.57
447,0,5,4,70,72.69
448,0,3,4,70,92.12
449,0,3,4,70,73.84
450,0,3,4,70,23.1
451,0,3,4,70,25.42
452,0,4,4,70,21.11
453,0,3,4,70,23.08
454,0,3,4,70,24.36
455,0,3,4,70,27.58
456,0,2,4,70,23.37
457,0,3,4,70,24.22
458,0,4,4,71,25.85
459,0,4,4,72,25.09
460,0,4,4,72,24.84
461,0,5,4,72,23.09
462,0,5,4,72,23.43
463,0,5,4,73,27.25
464,0,4,4,73,23.45
465,0,5,4,73,26.78
466,0,4,4,73,22.99
467,0,4,4,73,22.05
468,0,4,4,73,25.24
469,0,3,4,73,23.39
470,0,3,4,73,24.73
471,1,4,5,73,21.42
472,0,2,5,73,21.74
473,0,4,5,73,22.6
474,0,4,5,73,22.37
475,1,5,5,73,24.09
476,0,6,5,73,66.67
477,1,3,5,73,64.05
478,0,5,5,73,63.61
479,0,5,5,73,68.2
480,1,6,5,73,68.02
481,0,4,5,73,66.06
482,1,3,5,73,81.98
483,1,3,5,73,66.44
484,1,4,5,73,63.34
485,1,4,5,73,26.96
486,1,4,5,73,30.4
487,1,3,5,73,32.93
488,1,5,5,73,33.15
489,1,5,5,73,31.43
490,0,5,5,73,30.87
491,1,4,5,73,27.81
492,0,5,5,73,28.55
493,1,4,5,73,28.53
494,1,3,5,73,28.31
495,1,3,5,73,29.98
496,1,2,5,73,62.7
497,1,3,5,73,68.91
498,1,3,5,73,71.85
499,1,4,5,74,86.35
500,1,4,5,74,68.59
501,0,2,5,74,84.65
502,0,2,5,74,79.6
503,1,3,5,74,66.73
504,1,3,5,74,82.94
505,1,4,5,75,67.83
506,0,5,5,75,66.38
507,0,5,5,75,32.28
508,0,4,5,75,30.02
509,0,3,5,75,28.37
510,1,4,5,75,30.32
511,1,3,5,75,29.29
512,1,2,5,75,28.08
513,0,3,5,75,29.19
514,0,2,5,75,30.63
515,0,2,5,75,28.51
516,1,3,5,75,29.51
517,1,2,5,75,29.03
518,0,2,5,75,29.24
519,0,2,5,75,74.1
520,0,2,5,75,74.03
521,0,2,5,75,74.04
522,0,2,5,75,71.66
523,1,2,6,75,69.52
524,0,2,6,75,70.62
525,1,2,6,75,31.24
526,0,3,6,75,30.01
527,1,3,6,75,31.57
528,0,1,6,75,30.02
529,1,2,6,75,31.55
530,0,2,6,75,30.68
531,1,2,6,75,30.65
532,1,3,6,76,29.2
533,0,3,6,76,32.61
534,0,4,6,77,32.45
535,0,3,6,77,29.44
536,0,4,6,78,28.8
537,1,3,7,78,77.68
538,0,2,7,78,75.51
539,1,3,8,78,79.97
540,1,3,8,79,88.5
541,1,3,8,80,70.95
542,2,5,8,80,72.67
543,0,3,8,81,74.44
544,2,5,8,81,69.51
545,1,4,8,81,73.46
546,1,2,8,81,66.55
547,0,5,8,81,107.41
548,1,5,8,81,79.06
549,1,4,8,81,67.51
550,1,4,8,81,69.51
551,1,5,8,81,74.87
552,1,5,8,81,72.6
553,0,4,8,81,70.94
554,1,4,8,81,70.72
555,0,3,8,82,78.01
556,1,3,8,82,71.78
557,0,4,8,82,69.73
558,0,3,8,82,73.4
559,0,3,8,82,70.47
560,0,3,8,82,70.46
561,0,3,8,82,69.9
562,2,3,8,82,72.36
563,2,4,8,82,68.82
564,1,3,8,82,71.99
565,0,5,8,83,32.27
566,0,4,8,83,31.5
567,0,4,8,83,31.73
568,1,5,9,83,32.36
569,1,4,9,83,32.44
570,0,5,9,83,32.01
571,0,5,9,83,33.08
572,0,5,9,83,30.91
573,0,4,9,83,31.71
574,0,5,9,84,32.44
575,0,6,9,84,32.0
576,0,5,9,84,76.18
577,0,5,9,84,74.12
578,0,5,9,84,77.31
579,0,5,9,84,68.87
580,0,5,9,84,85.19
581,0,5,9,84,70.07
582,0,6,9,84,71.82
583,0,6,9,84,81.47
584,1,6,9,84,74.01
585,0,4,9,84,66.33
586,0,5,9,84,78.09
587,0,6,9,84,101.34
588,1,4,9,84,86.54
589,1,4,9,84,95.65
590,1,5,9,84,34.56
591,0,5,9,84,31.05
592,0,5,9,85,30.38
593,0,4,9,85,29.02
594,1,5,9,85,30.87
595,1,4,9,85,32.33
596,3,3,11,85,32.6
597,1,4,11,85,33.07
598,2,3,12,85,37.49
599,2,4,12,85,29.27
600,3,4,12,85,32.06
601,2,4,12,85,54.33
602,3,4,12,85,64.78
603,2,5,12,86,63.97
604,2,5,12,86,64.56
605,3,4,12,86,65.1
606,2,5,12,86,64.75
607,1,5,12,86,62.86
608,1,5,12,86,64.04
609,1,5,12,86,28.94
610,3,5,12,86,30.51
611,1,5,12,86,29.29
612,1,5,12,86,29.34
613,0,6,12,86,29.36
614,2,5,13,86,30.1
615,0,6,13,86,29.07
616,1,5,13,86,30.32
617,0,6,13,86,29.4
618,1,4,13,86,29.93
619,1,4,13,86,29.42
620,0,4,13,86,29.48
621,0,4,13,86,29.92
622,0,4,13,86,29.17
623,0,3,13,86,68.75
624,0,5,13,86,71.15
625,1,3,14,86,70.65
626,0,6,14,86,70.79
627,1,4,14,86,71.19
628,2,6,15,87,66.55
629,0,5,15,87,66.07
630,1,6,16,88,62.58
631,1,5,16,88,65.09
632,1,5,16,88,65.26
633,2,4,16,88,63.55
634,0,4,16,88,63.44
635,1,5,17,88,29.18
636,1,3,17,88,28.98
637,0,4,17,88,29.73
638,0,4,17,89,28.99
639,0,3,17,89,29.45
640,0,5,17,89,29.43
641,0,4,17,89,33.54
642,0,5,17,90,31.81
643,0,5,17,90,30.59
644,0,5,17,90,29.28
645,0,3,17,90,28.26
646,1,5,17,91,28.59
647,0,6,17,91,29.21
648,0,5,17,91,124.65
649,0,4,17,91,20.44
650,0,6,17,91,20.72
651,1,4,18,91,20.13
652,0,4,18,91,23.06
653,0,4,18,91,24.99
654,0,5,18,91,20.97
655,0,5,18,91,20.77
656,1,5,18,91,21.19
657,1,6,18,91,21.21
658,1,3,18,91,21.37
659,1,5,18,91,20.55
660,1,5,18,91,20.99
661,1,4,18,91,20.68
662,0,4,18,91,20.62
663,1,6,18,91,32.7
664,1,4,18,91,33.75
665,0,4,18,91,34.73
666,0,6,18,92,35.33
667,0,4,18,92,36.24
668,0,5,18,92,37.21
669,2,4,18,92,37.77
670,1,5,18,92,39.41
671,2,4,18,92,39.23
672,0,6,18,92,39.97
673,2,4,18,92,40.67
674,2,4,18,93,72.62
675,2,3,18,93,72.2
676,2,4,18,93,69.63
677,2,2,18,93,67.64
678,1,3,18,93,64.82
679,1,3,18,93,64.73
680,1,4,18,93,134.17
681,0,3,18,93,22.67
682,0,4,18,93,23.53
683,0,3,18,93,24.26
684,1,5,18,94,27.25
685,0,4,18,94,22.55
686,0,5,18,94,23.26
687,0,5,18,94,23.2
688,0,5,18,95,66.18
689,0,6,18,95,22.98
690,1,7,19,95,21.8
691,0,4,19,95,29.13
692,0,3,19,95,79.12
693,0,2,19,95,30.48
694,0,3,19,95,31.81
695,0,4,19,95,40.77
696,0,5,19,96,31.57
697,0,4,19,96,31.82
698,0,4,19,96,27.88
699,0,5,19,96,34.64
700,0,6,19,96,32.59
701,0,5,19,96,35.28
702,0,7,19,97,35.59
703,0,5,19,97,31.49
704,0,6,19,97,71.0
705,0,5,19,97,78.7
706,0,4,19,97,69.2
707,0,4,19,97,70.54
708,0,4,19,97,66.08
709,0,4,19,97,67.47
710,1,5,20,97,29.71
711,0,4,20,97,41.09
712,0,4,20,97,37.81
713,1,4,20,97,31.2
714,0,5,20,97,29.59
715,0,4,20,97,29.15
716,1,4,20,97,29.52
717,0,3,20,97,29.43
718,1,3,20,97,29.39
719,0,4,20,98,29.55
720,0,4,20,98,36.37
721,0,3,20,98,37.45
722,0,3,20,98,70.29
723,0,3,20,98,108.42
724,1,3,20,98,25.82
725,0,2,20,98,23.77
726,1,2,20,98,24.7
727,1,2,20,98,25.0
728,0,2,20,98,24.05
729,1,2,20,98,25.08
730,1,2,20,98,24.06
731,1,2,20,98,25.74
732,0,2,20,98,25.97
733,1,3,20,99,27.15
734,1,3,21,99,25.05
735,0,3,21,99,26.37
736,0,3,21,99,24.53
737,0,2,21,99,71.58
738,0,3,21,99,72.41
739,1,4,22,100,72.38
740,0,5,22,100,70.41
741,0,4,22,100,82.89
742,1,5,22,100,73.35
743,1,5,22,100,74.01
744,0,4,22,100,69.46
745,0,4,22,100,72.1
746,0,4,22,100,73.32
747,0,5,22,100,70.16
748,0,5,22,100,74.69
749,1,5,23,100,71.3
750,0,5,23,100,70.77
751,1,4,23,100,68.35
752,0,5,23,100,67.23
753,1,5,23,100,67.69
754,0,4,23,100,67.76
755,0,4,23,100,65.31
756,0,4,23,100,68.23
757,0,4,23,100,66.75
758,0,5,23,101,68.42
759,0,5,23,101,72.32
760,1,6,24,101,64.91
761,1,5,24,101,65.63
762,1,5,24,101,65.74
763,1,4,24,101,67.98
764,1,3,24,101,64.28
765,1,3,24,101,29.87
766,1,2,24,101,30.67
767,0,4,24,101,29.3
768,1,4,25,101,36.0
769,2,5,26,101,29.78
770,0,5,26,101,29.6
771,2,5,26,102,33.08
772,0,5,26,102,28.95
773,2,4,26,102,29.55
774,2,4,26,102,29.87
775,1,5,26,102,30.07
776,2,4,27,102,29.61
777,0,5,27,102,73.68
778,0,4,27,102,72.8
779,0,5,27,102,71.21
780,1,5,27,102,70.73
781,0,4,27,102,73.05
782,0,4,27,102,76.51
783,0,4,27,102,71.15
784,0,3,27,102,72.68
785,1,3,27,102,71.08
786,0,3,27,102,65.38
787,1,3,27,102,67.98
788,0,2,27,102,68.59
789,0,3,27,102,65.37
790,0,2,27,102,68.05
791,0,2,27,102,67.42
792,0,2,27,102,63.7
793,0,2,27,102,29.15
794,0,2,27,102,28.73
795,0,3,27,103,29.23
796,0,2,27,103,28.79
797,0,2,27,103,29.34
798,0,3,27,105,28.88
799,0,4,27,105,30.71
800,0,3,27,105,30.34
801,0,3,27,105,28.69
802,0,5,27,105,29.33
803,0,3,27,105,28.95
804,0,3,27,105,28.88
805,0,0,27,105,75.68
806,0,1,27,105,72.24
807,0,1,27,105,75.76
808,0,2,27,105,74.76
809,0,1,27,105,72.08
810,0,2,27,105,73.11
811,0,2,27,105,68.17
812,0,2,27,105,99.69
813,0,2,27,105,35.6
814,0,1,27,105,27.95
815,0,1,27,105,35.26
816,0,1,27,105,33.31
817,0,0,27,105,29.85
818,0,2,27,105,30.61
819,0,2,27,105,27.03
820,0,2,27,105,26.53
821,0,3,27,106,26.69
822,0,1,27,106,26.62
823,0,2,27,107,27.51
824,0,2,27,107,26.85
825,0,2,27,107,26.55
826,0,1,27,107,28.05
827,0,1,27,108,37.06
828,0,3,27,108,66.38
829,0,2,27,108,62.69
830,0,4,27,108,64.63
831,0,1,27,108,96.88
832,0,1,27,108,59.68
833,0,3,27,108,27.17
834,0,1,27,108,25.49
835,0,1,27,108,26.75
836,0,2,27,109,27.2
837,0,2,27,109,29.13
838,1,3,28,109,31.77
839,1,3,28,109,33.44
840,1,3,28,109,26.2
841,1,3,28,109,35.18
842,1,3,28,109,27.3
843,0,2,28,109,41.11
844,1,3,28,109,29.24
845,1,3,28,109,80.94
846,1,3,28,109,22.59
847,1,3,28,109,21.39
848,1,3,28,109,23.65
849,0,3,28,109,20.98
850,0,3,28,109,19.87
851,0,3,28,109,19.88
852,0,3,28,109,21.56
853,0,3,28,109,19.94
854,0,3,28,109,20.58
855,0,4,28,110,21.19
856,0,3,28,110,21.22
857,0,4,28,110,20.83
858,0,3,28,110,20.0
859,0,2,28,110,20.59
860,0,3,28,110,22.33
861,0,3,28,110,21.45
862,0,3,28,110,21.06
863,0,3,28,110,20.18
864,0,3,28,110,20.93
865,0,3,28,110,21.62
866,0,3,28,110,20.4
867,1,3,28,110,21.45
868,1,4,28,110,20.77
869,1,4,28,110,20.97
870,1,3,28,110,21.9
871,0,3,28,110,21.0
872,0,3,28,110,20.07
873,1,3,28,110,21.16
874,0,3,28,110,63.03
875,0,3,28,110,65.03
876,0,3,28,110,73.68
877,0,3,28,110,93.87
878,0,3,28,110,61.47
879,0,3,28,110,65.79
880,0,3,28,110,63.1
881,0,3,28,110,28.67
882,0,3,28,110,28.86
883,0,3,28,110,29.0
884,0,3,28,110,28.61
885,0,3,28,110,30.14
886,0,3,28,110,29.37
887,0,3,28,110,28.74
888,0,3,28,110,28.38
889,0,3,28,110,28.61
890,0,4,28,111,29.42
891,0,4,28,111,30.09
892,0,4,28,111,28.07
893,0,5,28,112,29.58
894,0,4,28,112,71.52
895,0,4,28,112,68.45
896,0,5,28,113,75.77
897,0,5,28,113,72.81
898,0,5,28,113,71.42
899,0,5,28,113,69.59
900,0,5,28,113,65.41
901,0,5,28,113,69.56
902,0,5,28,113,67.48
903,0,4,28,113,65.29
904,0,5,28,113,66.85
905,0,5,28,113,65.99
906,0,4,28,113,65.68
907,0,5,28,113,65.16
908,0,5,28,113,61.6
909,0,4,28,113,63.79
910,0,4,28,113,64.8
911,0,3,28,113,64.15
912,0,4,28,113,28.64
913,0,4,28,113,29.38
914,0,4,28,113,27.96
915,0,4,28,113,28.22
916,0,3,28,113,28.68
917,0,4,28,113,27.73
918,0,4,28,113,28.36
919,0,4,28,113,30.04
920,0,4,28,113,29.83
921,0,4,28,113,29.16
922,0,4,28,113,28.56
923,0,5,28,114,30.11
924,0,4,28,114,29.25
925,0,7,28,116,28.17
926,0,6,28,116,71.27
927,0,4,28,116,101.33
928,0,5,28,116,64.47
929,0,6,28,116,130.2
930,0,4,28,116,24.8
931,1,6,29,116,25.49
932,1,5,29,116,27.91
933,0,5,29,116,26.9
934,1,6,29,116,24.04
935,1,3,29,116,25.02
936,1,2,29,116,24.26
937,0,2,29,116,24.35
938,1,2,29,116,24.79
939,0,2,29,116,24.32
940,1,2,29,116,26.94
941,1,5,29,117,25.53
942,1,5,29,117,25.71
943,0,4,29,117,25.78
944,0,5,29,117,69.42
945,0,5,29,117,64.73
946,1,5,30,117,68.5
947,0,5,30,117,125.01
948,0,4,30,117,61.55
949,0,5,30,117,61.2
950,1,4,30,117,25.93
951,0,4,30,117,25.08
952,0,5,30,117,24.98
953,0,4,30,117,26.27
954,0,5,30,117,26.02
955,0,5,30,118,25.97
956,0,5,30,118,25.41
957,0,4,30,118,25.62
958,0,3,30,118,25.94
959,0,3,30,118,25.38
960,0,4,30,118,25.11
961,0,2,30,118,25.12
962,0,5,30,118,25.42
963,0,5,30,118,25.63
964,0,3,30,118,65.62
965,1,3,31,118,69.15
966,0,3,31,118,69.82
967,0,2,31,118,66.38
968,0,2,31,118,65.09
969,0,3,31,118,66.92
970,0,4,31,118,67.44
971,0,4,31,118,66.17
972,0,4,31,118,63.82
973,0,3,31,118,69.8
974,0,4,31,118,31.58
975,0,3,31,118,33.02
976,0,3,31,118,28.48
977,0,4,31,118,31.94
